name;expected_folder;actual_folder;status
KRBBvK.rtbw;3-4-5;3-4-5;PRESENT
KRBNvK.rtbw;3-4-5;3-4-5;PRESENT
KRBPvK.rtbw;3-4-5;3-4-5;PRESENT
KRBvKB.rtbw;3-4-5;3-4-5;PRESENT
KRBvKN.rtbw;3-4-5;3-4-5;PRESENT
KRBvKP.rtbw;3-4-5;3-4-5;PRESENT
KRBvKQ.rtbw;3-4-5;3-4-5;PRESENT
KRBvKR.rtbw;3-4-5;3-4-5;PRESENT
KRBvK.rtbw;3-4-5;3-4-5;PRESENT
KRNNvK.rtbw;3-4-5;3-4-5;PRESENT
KRNPvK.rtbw;3-4-5;3-4-5;PRESENT
KRNvKB.rtbw;3-4-5;3-4-5;PRESENT
KRNvKN.rtbw;3-4-5;3-4-5;PRESENT
KRNvKP.rtbw;3-4-5;3-4-5;PRESENT
KRNvKQ.rtbw;3-4-5;3-4-5;PRESENT
KRNvKR.rtbw;3-4-5;3-4-5;PRESENT
KRNvK.rtbw;3-4-5;3-4-5;PRESENT
KRPPvK.rtbw;3-4-5;3-4-5;PRESENT
KRPvKB.rtbw;3-4-5;3-4-5;PRESENT
KRPvKN.rtbw;3-4-5;3-4-5;PRESENT
KRPvKP.rtbw;3-4-5;3-4-5;PRESENT
KRPvKQ.rtbw;3-4-5;3-4-5;PRESENT
KRPvKR.rtbw;3-4-5;3-4-5;PRESENT
KRPvK.rtbw;3-4-5;3-4-5;PRESENT
KRRBvK.rtbw;3-4-5;3-4-5;PRESENT
KRRNvK.rtbw;3-4-5;3-4-5;PRESENT
KRRPvK.rtbw;3-4-5;3-4-5;PRESENT
KRRRvK.rtbw;3-4-5;3-4-5;PRESENT
KRRvKB.rtbw;3-4-5;3-4-5;PRESENT
KRRvKN.rtbw;3-4-5;3-4-5;PRESENT
KRRvKP.rtbw;3-4-5;3-4-5;PRESENT
KRRvKQ.rtbw;3-4-5;3-4-5;PRESENT
KRRvKR.rtbw;3-4-5;3-4-5;PRESENT
KRRvK.rtbw;3-4-5;3-4-5;PRESENT
KRvKB.rtbw;3-4-5;3-4-5;PRESENT
KRvKN.rtbw;3-4-5;3-4-5;PRESENT
KRvKP.rtbw;3-4-5;3-4-5;PRESENT
KRvKR.rtbw;3-4-5;3-4-5;PRESENT
KRvK.rtbw;3-4-5;3-4-5;PRESENT
KBBBvK.rtbz;3-4-5;3-4-5;PRESENT
KBBNvK.rtbz;3-4-5;3-4-5;PRESENT
KBBPvK.rtbz;3-4-5;3-4-5;PRESENT
KBBvKB.rtbz;3-4-5;3-4-5;PRESENT
KBBvKN.rtbz;3-4-5;3-4-5;PRESENT
KBBvKP.rtbz;3-4-5;3-4-5;PRESENT
KBBvKQ.rtbz;3-4-5;3-4-5;PRESENT
KBBvKR.rtbz;3-4-5;3-4-5;PRESENT
KBBvK.rtbz;3-4-5;3-4-5;PRESENT
KBNNvK.rtbz;3-4-5;3-4-5;PRESENT
KBNPvK.rtbz;3-4-5;3-4-5;PRESENT
KBNvKB.rtbz;3-4-5;3-4-5;PRESENT
KBNvKN.rtbz;3-4-5;3-4-5;PRESENT
KBNvKP.rtbz;3-4-5;3-4-5;PRESENT
KBNvKQ.rtbz;3-4-5;3-4-5;PRESENT
KBNvKR.rtbz;3-4-5;3-4-5;PRESENT
KBNvK.rtbz;3-4-5;3-4-5;PRESENT
KBPPvK.rtbz;3-4-5;3-4-5;PRESENT
KBPvKB.rtbz;3-4-5;3-4-5;PRESENT
KBPvKN.rtbz;3-4-5;3-4-5;PRESENT
KBPvKP.rtbz;3-4-5;3-4-5;PRESENT
KBPvKQ.rtbz;3-4-5;3-4-5;PRESENT
KBPvKR.rtbz;3-4-5;3-4-5;PRESENT
KBPvK.rtbz;3-4-5;3-4-5;PRESENT
KBvKB.rtbz;3-4-5;3-4-5;PRESENT
KBvKN.rtbz;3-4-5;3-4-5;PRESENT
KBvKP.rtbz;3-4-5;3-4-5;PRESENT
KBvK.rtbz;3-4-5;3-4-5;PRESENT
KNNNvK.rtbz;3-4-5;3-4-5;PRESENT
KNNPvK.rtbz;3-4-5;3-4-5;PRESENT
KNNvKB.rtbz;3-4-5;3-4-5;PRESENT
KNNvKN.rtbz;3-4-5;3-4-5;PRESENT
KNNvKP.rtbz;3-4-5;3-4-5;PRESENT
KNNvKQ.rtbz;3-4-5;3-4-5;PRESENT
KNNvKR.rtbz;3-4-5;3-4-5;PRESENT
KNNvK.rtbz;3-4-5;3-4-5;PRESENT
KNPPvK.rtbz;3-4-5;3-4-5;PRESENT
KNPvKB.rtbz;3-4-5;3-4-5;PRESENT
KNPvKN.rtbz;3-4-5;3-4-5;PRESENT
KNPvKP.rtbz;3-4-5;3-4-5;PRESENT
KNPvKQ.rtbz;3-4-5;3-4-5;PRESENT
KNPvKR.rtbz;3-4-5;3-4-5;PRESENT
KNPvK.rtbz;3-4-5;3-4-5;PRESENT
KNvKN.rtbz;3-4-5;3-4-5;PRESENT
KNvKP.rtbz;3-4-5;3-4-5;PRESENT
KNvK.rtbz;3-4-5;3-4-5;PRESENT
KPPPvK.rtbz;3-4-5;3-4-5;PRESENT
KPPvKB.rtbz;3-4-5;3-4-5;PRESENT
KPPvKN.rtbz;3-4-5;3-4-5;PRESENT
KPPvKP.rtbz;3-4-5;3-4-5;PRESENT
KPPvKQ.rtbz;3-4-5;3-4-5;PRESENT
KPPvKR.rtbz;3-4-5;3-4-5;PRESENT
KPPvK.rtbz;3-4-5;3-4-5;PRESENT
KPvKP.rtbz;3-4-5;3-4-5;PRESENT
KPvK.rtbz;3-4-5;3-4-5;PRESENT
KQBBvK.rtbz;3-4-5;3-4-5;PRESENT
KQBNvK.rtbz;3-4-5;3-4-5;PRESENT
KQBPvK.rtbz;3-4-5;3-4-5;PRESENT
KQBvKB.rtbz;3-4-5;3-4-5;PRESENT
KQBvKN.rtbz;3-4-5;3-4-5;PRESENT
KQBvKP.rtbz;3-4-5;3-4-5;PRESENT
KQBvKQ.rtbz;3-4-5;3-4-5;PRESENT
